n,method,status,total_ms,decompose_ms,solve_ms,residual
100,gauss_classic,0,3.630400,0.000000,3.630400,3.622172420729e-11
100,gauss_pivot,0,3.538900,0.000000,3.538900,8.970682468163e-14
100,lu,0,1.122900,0.984000,0.108400,2.099217679201e-11
200,gauss_classic,0,25.979100,0.000000,25.979100,1.607681206225e-10
200,gauss_pivot,0,26.325800,0.000000,26.325800,4.620283676151e-13
200,lu,0,8.442900,7.891800,0.424900,9.526153013188e-11
500,gauss_classic,0,421.978400,0.000000,421.978400,9.892729625917e-10
500,gauss_pivot,0,442.327800,0.000000,442.327800,3.204996572585e-12
500,lu,0,129.153700,126.519400,2.610800,1.898617385111e-09
1000,gauss_classic,0,3263.492600,0.000000,3263.492600,1.930612154457e-08
1000,gauss_pivot,0,3278.928100,0.000000,3278.928100,4.419447957596e-11
1000,lu,0,1019.083700,1008.409400,10.643300,1.209201439931e-08
